Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
Sex with the Queen,Eleanor Herman,History,"In this follow-up to her bestselling Sex with Kings, Eleanor Herman reveals the truth about what goes on behind the closed door of a queen's boudoir. Impeccably researched, filled with page-turning romance, passion, and scandal, Sex with the Queen explores the scintillating sexual lives of some of our most beloved and infamous female rulers. She was the queen, living in an opulent palace, wearing lavish gowns and dazzling jewels. She was envied, admired, and revered. She was also miserable, having been forced to marry a foreign prince sight unseen, a royal ogre who was sadistic, foaming at the mouth, physically repulsive, mentally incompetent, or sexually impotent—and in some cases all of the above. How did queens find happiness? In courts bristling with testosterone—swashbuckling generals, polished courtiers, and virile cardinals—many royal women had love affairs. Anne Boleyn flirted with courtiers; Catherine Howard slept with one. Henry VIII had both of them beheaded. Catherine the Great had her idiot husband murdered, and ruled the Russian empire with a long list of sexy young favorites. Marie Antoinette fell in love with the handsome Swedish count Axel Fersen, who tried valiantly to rescue her from the guillotine. Empress Alexandra of Russia found emotional solace in the mad monk Rasputin. Her behavior was the spark that set off the firestorm of the Russian revolution. Princess Diana gave up her palace bodyguard to enjoy countless love affairs, which tragically led to her early death. When a queen became sick to death of her husband and took a lover, anything could happen—from disgrace and death to political victory. Some kings imprisoned erring wives for life; other monarchs obligingly named the queen's lover prime minister. The crucial factor deciding the fate of an unfaithful queen was the love affair's implications in terms of power, money, and factional rivalry. At European courts, it was the politics—not the sex—that caused a royal woman's tragedy—or her ultimate triumph.",2006,3.91,336,201 - 400
Sexing the Cherry,Jeanette Winterson,Literary Fiction,"Interweaving elements of fantasy and history, this novel chronicles the adventures of Jordan, who lives with his mother by the Thames during the reign of Charles II, as he follows his dreams to the end of the world, and beyond",1989,3.83,167,<201
Sexus,Henry Miller,Literary Fiction,"The first novel of Miller's frank, autobiographical trilogy uses dream, fantasy, and burlesque to portray the life of a struggling writer in preWorld War I New York",1987,4.04,506,401 - 600
Sgt. Rock,Joe Kubert,Comics & Graphic Novels,Rock and Easy Company parachute into Nazi-occupied Lithuania to rescue a young rabbi so they can bring him to America and make the horrors of the Holocaust known to the world.,2007,3.48,144,<201
Shadow,Bob Woodward,History,"A New York Times Notable Book of the Year Twenty-five years ago, after Richard Nixon resigned the presidency, Gerald Ford promised a return to normalcy. “My fellow Americans, our long national nightmare is over,” President Ford declared. But it was not. The Watergate scandal, and the remedies against future abuses of power, would have an enduring impact on presidents and the country. In Shadow, Bob Woodward takes us deep into the administrations of Ford, Carter, Reagan, Bush and Clinton to describe how each discovered that the presidency was forever altered. With special emphasis on the human toll, Woodward shows the consequences of the new ethics laws, and the emboldened Congress and media. Powerful investigations increasingly stripped away the privacy and protections once expected by the nation's chief executive. Shadow is an authoritative, unsettling narrative of the modern, beleaguered presidency.",2000,3.71,608,601 - 800
Shadow Dance,Julie Garwood,Fiction,"Moving between the glamorous cosmopolitan world of Boston and small-town Texas, a sizzling romance follows the evolution of the tumultuous relationship between Jordan Buchanan and Noah Clayborne. 300,000 first printing.",2007,4,336,201 - 400
Shadow Game,Christine Feehan,Fiction,"From the ""New York Times"" bestselling author comes a new series featuring a man and woman with telekinetic abilities who discover a terrifying power--and a forbidden passion--that could destroy them both. Original.",2003,4.12,323,201 - 400
Shadow of a Dark Queen,Raymond E. Feist,Fiction,A dread darkness is descending upon a great land called Midkemia—a powerful and malevolent race of monsters that has slipped through a hole in the dimensions. And two unlikely young heroes—a bastard heir denied his birthright and an irrepressible scoundrel with a penchant for thievery—must take up arms in the struggle to protect their besieged world...two friends chosen by Destiny to stand at the fore of the battle that is to come against the gargantuan reptile army of the terrible Emerald Queen.,1995,4.04,497,401 - 600
Shadow of the Hegemon,Orson Scott Card,Fiction,"The War is over, won by Ender Wiggin and his team of brilliant child-warriors. The enemy is destroyed, the human race is saved. Ender himself refuses to return to the planet, but his crew has gone home to their families, scattered across the globe. The battle school is no more. But with the external threat gone, the Earth has become a battlefield once more. The children of the Battle School are more than heroes; they are potential weapons that can bring power to the countries that control them. One by one, all of Ender's Dragon Army are kidnapped. Only Bean escapes; and he turns for help to Ender's brother Peter. Peter Wiggin, Ender's older brother, has already been manipulating the politics of Earth from behind the scenes. With Bean's help, he will eventually rule the world. Shadow of the Hegemon is the second novel in Orson Scott Card's Shadow Series.",2001,3.94,451,401 - 600
Shadow of the Moon,Rebecca York,Fiction,"Samantha Carpenter must join forces with reporter--and werewolf--Lance Marshall to find the truth surrounding her sister's mysterious coma by gaining entrance to a secretive club called The Castle, where they, while searching for answers, stumble upon a dark evil, and a passion like no other. Original.",2006,3.79,336,201 - 400
Shadowland,Peter Straub,Fiction,"Best friends Tom Flanagan and Del Nightingale, apprentices to a master magician, enter a dark realm of immeasurable evil, more ancient than death itself, where only one of them will survive.",2003,3.91,468,401 - 600
Shadowmarch,Tad Williams,Fiction,Now in mass market paperback-Tad Williams' triumphant return to high fantasy!,2006,3.73,796,601 - 800
Shadowplay,Tad Williams,Fiction,"With the fate of humanity hanging in the balance, twins Barrick and Briony must save Southmarch Castle and the surrounding lands from their inhuman enemies.",2007,3.89,656,601 - 800
Shadows,John Saul,Fiction,"As one by one the children housed at The Academy, a clifftop mansion school for gifted children, begin to die mysterious deaths, Josh McCallum, a brilliant but lonely boy, knows that someone or something evil is to blame. Reprint.",1993,3.92,393,201 - 400
Shadows and Wind,Robert Templer,History,"Examines the problems facing modern Vietnam, a country emerging from its troubled past into a new world marked by conspicuous consumption and a lifestyle of leisure",1998,3.48,400,201 - 400
Shadows of the Empire,Steve Perry,Fiction,"A novel set during the period between The Empire Strikes Back and Return of the Jedi follows Leia's preparations to rescue Han Solo and Luke's flight from both Darth Vader and an equally powerful dark lord, Xizor. Reprint.",1997,3.82,385,201 - 400
Shakespeare's Kitchen,Francine Segan,Cooking,"A noted food historian brings to life the classic foods of William Shakepeare's world in a series of updated, easy-to-prepare recipes, drawn from sixteenth- and seventeenth-century cookbooks, for a variety of tasty dishes that include Grilled Tuna with Carrots and Sweet Onions, Fish Bisque with Chestnuts and Artichokes, and Red Snapper with Caviar, among others. 35,000 first printing.",2003,3.99,288,201 - 400
Shalimar the Clown,Salman Rushdie,Literary Fiction,"In 1991, Ambassador Maximilian Ophuls--ex-ambassador to India, and America's counterterrorism chief--is murdered on the Los Angeles doorstep of his illegitimate daughter's home by his Kashmiri Muslim driver, who calls himself Shalimar the Clown.",2006,3.87,398,201 - 400
Shards of a Broken Crown,Raymond E. Feist,Fiction,"The demon is no more. The enemy has been routed. But all is not well . . . Winter's icy grasp is loosening on the world. The Emerald Queen's vanquished army has its broken back to the Bitter Sea. And treachery is its only recourse. A lackey has declared himself Lord of the defeated, amassing the still fearsome remnants of a ruthless fighting force together for one final assault on a weakened, vulnerable realm. For the warriors who remained steadfast against terrible numbers, for the courageous souls who barely survived a devastating onslaught upon their homeland, the time to rebuild and renew has not yet come. The war is not over in Midkemia. And Jimmy and Dash—two young noble brothers who stand at the center of a gathering storm—are impelled to action that could secure a tenuous peace . . . or turn triumph into catastrophe. The demon is no more. The enemy has been routed. But all is not well . . .",1999,4.01,498,401 - 600
Sharp Edges,Jayne Ann Krentz,Fiction,"A museum curator and a rough-hewn private investigator enter the sinister, high-stakes world of priceless art, where they discover that the most valuable commodity is knowing whom to trust",1998,3.86,368,201 - 400
She Went All the Way,Meg Cabot,Fiction,"During an unfortunate helicopter ride into the wilds of Alaska, successful screenwriter Lou Calabrese is reunited with sexy Jack Townsend, but they are forced into a desperate battle for survival when they crash land in the wilderness.",2002,3.69,357,201 - 400
She's Come Undone,Wally Lamb,Fiction,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years. Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.",1998,3.86,465,401 - 600
Sherlock Holmes,Nick Rennison,Fiction,"Describes the character's influence on the political events of late-nineteenth-century England, his connections to the British criminal underworld, and his investigations into some of his era's most infamous crimes.",2006,4.26,304,201 - 400
Shibumi,Trevanian,Fiction,"Nicolai Hel uses his nearly superhuman mental and physical prowess to destroy political terrorists and decides to take on The Mother Company itself, a supermonolith of espionage and economic monopoly, in a twenty-fifth anniversary edition of the classic thriller. Reprint. 50,000 first printing.",2005,4.22,480,401 - 600
Ship of Destiny,Robin Hobb,Fiction,"Chaos stalks the world as the war between Bingtown and Chalced escalates, Althea and Brashen cope with their blinded Liveship, and a powerful dragon, capable of untold destruction or redemption, appears.",2001,4.22,789,601 - 800
Shoofly Pie,Tim Downs,Fiction,"Forensic entomologist Nick Polchak (a.k.a. the Bug Man) is hired by 30-year-old Kathryn Guilford, who is terrified of bugs, to solve her friend's death. When Polchak stumbles into the mystery of how Kathryn's husband was killed years earlier, Polchak finds himself on the run with his client from someone who will do anything to keep a secret.",2003,4.18,371,201 - 400
Shooting Stars Omnibus,V.C. Andrews,Fiction,"FOUR GIRLS TOUCHED BY SPECIAL GIFTS. FOUR STUNNING NEW YORK TIMES BESTSELLERS -- - TOGETHER FOR THE FIRST TIME Cinnamon...She escaped her family's turmoil by dreaming of imaginary worlds. But it's her talent for the theater that gives Cinnamon a chance...to truly escape. Ice...To her mother's dismay, she was a silent wallflower, not a social butterfly. Now, her secret gift -- her solid-gold singing voice -- may become her saving grace. Rose...When she danced, she could dream -- and when her father's secrets threatened to destroy her world, a most unlikely person gives Rose the courage to follow her heart. Honey...Raised on her strict grandfather's farm, her natural-born talent for the violin gave her a new life -- and love with a handsome soul mate. Will a shocking revelation shatter her newfound happiness?",2002,3.94,656,601 - 800
Shopaholic Ties the Knot,Sophie Kinsella,Fiction,"Becky Bloomwood is delighted when her boyfriend proposes, but her visions of a perfect wedding day dissolve as her mother plans a backyard wedding and her high-society mother-in-law-to-be insists on a lavish affair at the Plaza Hotel.",2004,3.77,407,401 - 600
Shopgirl,Steve Martin,Fiction,"One of our country's most acclaimed and beloved entertainers, Steve Martin has written a novella that is unexpectedly perceptive about relationships and life. Martin is profoundly wise when it comes to the inner workings of the human heart. Mirabelle is the ""shopgirl"" of the title, a young woman, beautiful in a wallflowerish kind of way, who works behind the glove counter at Neiman Marcus ""selling things that nobody buys anymore..."" Slightly lost, slightly off-kilter, very shy, Mirabelle charms because of all that she is not: not glamorous, not aggressive, not self-aggrandizing. Still there is something about her that is irresistible. Mirabelle captures the attention of Ray Porter, a wealthy businessman almost twice her age. As they tentatively embark on a relationship, they both struggle to decipher the language of love -- with consequences that are both comic and heartbreaking. Filled with the kind of witty, discerning observations that have brought Steve Martin critical success, Shopgirl is a work of disarming tenderness.",2006,3.42,130,<201
Shout Out Loud! Volume 5: (Yaoi),Satosumi Takaguchi,Comics & Graphic Novels,"When Tenryu and Shino finally make a decision on their relationship, Nakaya, unsure if he can accept the new romance, confronts Tenryu.",2007,3.95,192,<201
Shroud,John Banville,Fiction,"When a young woman threatens to expose a damaging secret from his former life, Axel Vander, an elderly scholar and master liar, is forced to examine his past to uncover the truths that he has so carefully hidden.",2004,3.65,257,201 - 400
Sideways,Rex Pickett,Fiction,"Sideways is the story of two friends-Miles and Jack-going away together for the last time to steep themselves in everything that makes it good to be young and single: pinot, putting, and prowling bars. In the week before Jack plans to marry, the pair heads out from Los Angeles to the Santa Ynez wine country. For Jack, the tasting tour is Seven Days to D-Day, his final stretch of freedom. For Miles--who has divorced his wife, is facing an uncertain career and has lost his passion for living-the trip is a weeklong opportunity to evaluate his past, his future and himself. A raucous and surprising novel filled with wonderful details about wine, Sideways is also a thought-provoking and funny book about men, women, and human relationships.",2004,3.69,368,201 - 400
Sideways Stories from Wayside School,Louis Sachar,Fiction,"Humorous episodes from the classroom on the thirtieth floor of Wayside School, which was accidentally built sideways with one classroom on each story.",2004,4.15,144,<201
Silenced,Jerry B. Jenkins,Fiction,"Double agent Paul Stepola continues to work to protect his fellow believers from the government that is trying to eliminate Christians, and struggles how to tell his family about his newfound faith without raising his father-in-law's suspicions.",2004,4.24,368,201 - 400
Silver Nights,Jane Feather,Fiction,"An Arranged Marriage Free-spirited Sophia is a tempestuous heiresscapable of turning heads and breaking hearts. Orderedinto a loveless marriage that could bring her even greater riches, Sophia accepts her fate-until she sets her eyes on Adam, the virile nobleman who is to escort her to her future husband's estate. Adam is immediately captivated by Sophia'sheated sensuality, which sears through his cool reserve and makes him forget his duty. As for Sophia,she is powerless to resist his intense masculinity andair of mystery. Rebelling against her impending marriage, Sophia willfully surrenders herself body and soul to Adam's intense passion...only to discover that the price of forbidden love could be her life. Free-spirited Sophia is a tempestuous heiress capable of turning heads and breaking hearts. Ordered into a loveless marriage that could bring her even greater riches, Sophia accepts her fate -- until she sets her eyes on Adam, the virile nobleman who is to escort her to her future husband's estate. Adam is immediately captivated by Sophia's heated sensuality, which sears through his cool reserve and makes him forget his duty. As for Sophia, she is powerless to resist his intense masculinity and air of mystery. Rebelling against her impending marriage, Sophia willfully surrenders herself body and soul to Adam's intense passion...only to discover that the price of forbidden love could be her life.",2001,3.53,352,201 - 400
Sister of My Heart,Chitra Banerjee Divakaruni,Literary Fiction,"Two girls, one the daughter of an upper-caste Calcutta family, the other the daughter of the black sheep of that same family, form a sisterly bond that shatters when one of the girls discovers a dark family secret.",2000,3.98,322,201 - 400
Situationist International Anthology,Ken Knabb,Art,"The essential source book for anyone wanting to pursue the SI. A vast compendium of writings from all their major works, books, journals, leaflets etc. All the stars are here, and much more. Much of this has been translated into English for the first time.",2006,4.25,532,401 - 600
Six Frigates,Ian W. Toll,History,"Describes the origins and early history of the American Navy, discussing the debates by the founding fathers over the need for a permanent military, the decision to construct six heavy frigates, the campaign against Tripoli, and the war of 1812, including the confrontation between the USS Constitution and HMS Guerriere that raised the U.S. to a global power. 70,000 first printing.",2006,4.32,560,401 - 600
Six Memos for the Next Millennium,Italo Calvino,Literary Fiction,"SIX MEMOS FOR THE NEXT MILLENNIUM is the text to a series of lectures which became an obsession for Italo Calvino in the last year of his life. Drawing on the works of Lucretius, Ovid, Boccaccio, Falubert, Kundera, Perec and many more, he pinpoints the universal laws and indispensable literary values future generations might cherish -lightness, quickness, exactitude, visibility and multiplicity. It is an eloquent and lively 'defence' of literature - a fitting gift for the next millennium.",1996,4.23,128,<201
Sixteen Thirty-two,Eric Flint,Fiction,"FREEDOM AND JUSTICE -- AMERICAN STYLE 1632 And in northern Germany things couldn't get much worse. Famine. Disease. Religious war laying waste the cities. Only the aristocrats remained relatively unscathed; for the peasants, death was a mercy. 2000 Things are going OK in Grantville, West Virginia, and everybody attending the wedding of Mike Stearn's sister (including the entire local chapter of the United Mine Workers of America, which Mike leads) is having a good time. THEN, EVERYTHING CHANGED.... When the dust settles, Mike leads a group of armed miners to find out what happened and finds the road into town is cut, as with a sword. On the other side, a scene out of Hell: a man nailed to a farmhouse door, his wife and daughter attacked by men in steel vests. Faced with this, Mike and his friends don't have to ask who to shoot. At that moment Freedom and Justice, American style, are introduced to the middle of the Thirty Years' War.",2006,4.04,597,401 - 600
Skeleton Crew,Stephen King,Fiction,"Unrivalled monarch of the macabre Stephen King again takes the unsuspecting reader on a fantastic journey through the dark, shadowy areas of our innermost fears. In a bumper collection of truly chilling tales, we meet Gramma, who only wants to hug little George, even after she was dead; The Raft - a primeval sea creature with an insatiable appetite; The Monkey - an innocent-looking toy with sinister powers; the unspeakable horror of The Mist. And there is a gruesome host of other stories, each with the distinctive blend of unimaginable terror and realism that typifies King's writing.",1993,3.95,612,601 - 800
Sketches from a Hunter's Album,Ivan Turgenev,Classics,"Turgenev’s first major prose work is a series of twenty-five Sketches: the observations and anecdotes of the author during his travels through Russia satisfying his passion for hunting. His album is filled with moving insights into the lives of those he encounters – peasants and landowners, doctors and bailiffs, neglected wives and bereft mothers – each providing a glimpse of love, tragedy, courage and loss, and anticipating Turgenev’s great later works such as First Love and Fathers and Sons. His depiction of the cruelty and arrogance of the ruling classes was considered subversive and led to his arrest and confinement to his estate, but these sketches opened the minds of contemporary readers to the plight of the peasantry and were even said to have led Tsar Alexander II to abolish serfdom.",1990,3.93,403,401 - 600
Slammerkin,Emma Donoghue,Fiction,"Drawn into prostitution in mid-1700s London at an early age because of her dreams for a more affluent lifestyle, Mary Saunders takes refuge as a seamstress in the middle-class household of Mrs. Jones but mistakenly comes to believe that fashionable clothing can enable her to win respect and freedom. Reprint. 50,000 first printing.",2000,3.7,410,401 - 600
Slapstick,Kurt Vonnegut,Classics,"Flying to a favorite uncle's funeral, a middle-aged Kurt Vonnegut daydreams of one-hundred-year-old Wilbur Oriole-11 Swain, pediatrician and past United States President, who wrote history's most popular child-rearing manual and sold the original Louisian",1999,3.87,288,201 - 400
Sleeping Beauty Novels,A.N. Roquelaure,Fiction,"Celebrate the daring gifts of Anne Rice, writing as A. N. Roquelaure, with this beautifully repackaged boxed set of the three erotic novels in her acclaimed Sleeping Beauty trilogy.",1999,3.99,724,601 - 800
Sleeping in Flame,Jonathan Carroll,Fiction,"Falling in love with a beautiful artist who creates cities, Vienna screenwriter Walker Easterling discovers that he has developed the ability to see into the near future and is referred to a shaman who helps him tour his numerous interconnected past lives. By the author of The Land of the Laughs and The Wooden Sea. Reprint. 25,000 first printing.",2004,4.05,304,201 - 400
Slightly Settled,Wendy Markham,Fiction,"Tracey Spadolini from ""Slightly Single"" is back and looking and feeling fabulous. But Tracey soon finds herself the object of desire of three men. When did life for Tracey get so complicated?",2004,3.66,312,201 - 400
Slightly Wicked,Mary Balogh,Fiction,"Judith allows herself one night of reckless passion with a heroic stranger before settling into a dreary life as her aunt's companion, but she is shocked when the stranger arrives at her aunt's home, Harewood Grange, to woo her cousin.",2003,4,342,201 - 400
Slouching Toward Nirvana,Charles Bukowski,Poetry,"in this place there are the dead, the deadly and the dying. there is the cross, the builders of the cross and the burners of the cross. the pattern of my life forms like a cheap shadow on the wall before me. my love what is left of it now must crawl to wherever it can crawl. the strongest know that death is final and the happiest are those gifted with the shortest journey.",2006,3.99,288,201 - 400
Slowness,Milan Kundera,Literary Fiction,"Milan Kundera's lightest novel, a divertimento, an opera buffa, Slowness is also the first of this author's fictional works to have been written in French. Disconcerted and enchanted, the reader follows the narrator of Slowness through a midsummer's night in which two tales of seduction, separated by more than two hundred years, interweave and oscillate between the sublime and the comic. Underlying this libertine fantasy is a profound meditation on contemporary life: about the secret bond between slowness and memory, about the connection between our era's desire to forget and the way we have given ourselves over to the demon of speed. And about ""dancers"" possessed by the passion to be seen, for whom life is merely a perpetual show emptied of every intimacy and every joy.",1997,3.66,156,<201
"Small Bites, Big Nights",Govind Armstrong,Cooking,"Percy is incredibly accident-prone, and holds the dubious record of the most accidents. Percy has had a small rivalary with Harold, however, they are always willing to help each other when in trouble.",2007,3.6,256,201 - 400
Smoke and Mirrors,Neil Gaiman,Fiction,"In the deft hands of Neil Gaiman, magic is no mere illusion ... and anything is possible. In this, Gaiman's first book of short stories, his imagination and supreme artistry transform a mundane world into a place of terrible wonders -- a place where an old woman can purchase the Holy Grail at a thrift store, where assassins advertise their services in the Yellow Pages under ""Pest Control,"" and where a frightened young boy must barter for his life with a mean-spirited troll living beneath a bridge by the railroad tracks. Explore a new reality -- obscured by smoke and darkness, yet brilliantly tangible -- in this extraordinary collection of short works by a master prestidigitator. It will dazzle your senses, touch your heart, and haunt your dreams.",2005,4.05,365,201 - 400
Snow Country,Yasunari Kawabata,Classics,"Follows the story of a tragic affair between a wealthy dilettante and a mountain geisha who gives herself to him without illusions or regrets, in a tale of wasted love by the Nobel Prize-winning Japanese author. Reprint. 10,000 first printing.",1996,3.68,175,<201
Snow Crash,Neal Stephenson,Fiction,"In twenty-first-century America, a teenaged computer hacker finds himself fighting a computer virus that battles virtual reality technology and a deadly drug that turns humans into zombies.",2000,4.03,438,401 - 600
So Far from God,John S. D. Eisenhower,History,"The Mexican-American War of the 1840s, precipitated by border disputes and the U.S. annexation of Texas, ended with the military occupation of Mexico City by General Winfield Scott. In the subsequent treaty, the United States gained territory that would become California, Nevada, New Mexico, Arizona, Utah, and parts of Wyoming and Colorado. In this highly readable account, John S.D. Eisenhower provides a comprehensive survey of this frequently overlooked war.",2000,3.93,464,401 - 600
Social Intelligence,Daniel Goleman,Psychology,"The best-selling author of Emotional Intelligence redefines the nature of human relationships and its impact on every aspect of daily life, bringing together the latest research in biology and brain science to reveal how one's daily encounters shape the brain and affect the body, from daily mood to the immune response. 250,000 first printing.",2006,3.98,403,401 - 600
Social Psychology,Elliot Aronson,Psychology,"Suitable for introductory Social Psychology classes, this work presents a scientific approach to social psychology.",2007,3.98,633,601 - 800
Sodom and Gomorrah,Marcel Proust,Classics,"Set against the backdrop of decadent Parisian high society and the rise of a conservative bourgeoisie that will supplant it, the author explores the theme of homosexual love and the destructive influence of sexual jealousy.",2005,4.36,557,401 - 600
Soldier of Sidon,Gene Wolfe,Fiction,"A man who forgets everything while he sleeps and is dependent on his journal entries to keep his life together, Latro finds himself in Egypt, where he searches for a way to rid himself of the curse that causes him to lose his memory.",2006,4,320,201 - 400
Soldiers of Destruction,Charles W. Sydnor,History,"Surveys the emergence of the Nazi SS and its Death's Head Division, noting the impact of this elite and powerful army upon military history",1990,4,375,201 - 400
Solomon's Song,Toni Morrison,Classics,"'This is the story of two families - branches of the Solomons - transported to an alien land, both of whom eventually grow rich and powerful but who, through three generations, never for one moment relinquish their hatred for each other. It is also the story of our country from the beginning until we came of age as a nation.'",2000,4.01,671,601 - 800
Some Ether,Nick Flynn,Poetry,"Winner of a ""Discovery""/The Nation Award Winner of the 1999 PEN/Joyce Osterweil Award for Poetry Some Ether is one of the more remarkable debut collections of poetry to appear in America in recent memory. As Mark Doty has noted, ""these poems are more than testimony; in lyrics of ringing clarity and strange precision, Flynn conjures a will to survive, the buoyant motion toward love which is sometimes all that saves us. Some Ether resonates in the imagination long after the final poem; this is a startling, moving debut.""",2000,4.16,85,<201
Something Blue,Emily Giffin,Fiction,"Her belief in the power of beauty shattered when her fiance dumps her for a plain woman, a pregnant Darcy flees to London and struggles to rebuild her glamorous life, before realizing that her past methods no longer work.",2006,3.93,338,201 - 400
Something Borrowed,Emily Giffin,Fiction,"After a night of indiscriminate partying, Rachel sleeps with a close friend's fianc and is consumed with guilt, until the intensity of her feelings forces her to make a difficult choice. A first novel. 50,000 first printing.",2004,3.84,322,201 - 400
Something Borrowed,Rebecca Hagan Lee,Fiction,"Honoring a deathbed promise to become guardian to his best friend's daughter and find a wife, Lee arranges his marriage to Mary, a part-Cherokee schoolteacher who cannot deny her attraction to her husband of convenience. Original.",1995,4.17,282,201 - 400
Something Happened,Joseph Heller,Classics,"Bob Slocum was living the American dream. He had a beautiful wife, three lovely children, a nice house...and all the mistresses he desired. He had it all -- all, that is, but happiness. Slocum was discontent. Inevitably, inexorably, his discontent deteriorated into desolation until...something happened. Something Happened is Joseph Heller's wonderfully inventive and controversial second novel satirizing business life and American culture. The story is told as if the reader was overhearing the patter of Bob Slocum's brain -- recording what is going on at the office, as well as his fantasies and memories that complete the story of his life. The result is a novel as original and memorable as his Catch-22.",1974,3.52,576,401 - 600
Sometimes a Great Notion,Ken Kesey,Fiction,"The magnificent second novel from the legendary author of One Flew Over the Cuckoo's Nest Following the astonishing success of his first novel, One Flew Over the Cuckoo's Nest, Ken Kesey wrote what Charles Bowden calls ""one of the few essential books written by an American in the last half century."" This wild-spirited tale tells of a bitter strike that rages through a small lumber town along the Oregon coast. Bucking that strike out of sheer cussedness are the Stampers. Out of the Stamper family's rivalries and betrayals Ken Kesey has crafted a novel with the mythic impact of Greek tragedy.",1964,4.21,715,601 - 800
Son of a Witch,Gregory Maguire,Fiction,"Ten years after the publication of Wicked, beloved novelist Gregory Maguire returns at last to the land of Oz. There he introduces us to Liir, an adolescent boy last seen hiding in the shadows of the castle after Dorothy did in the Witch. Bruised, comatose, and left for dead in a gully, Liir is shattered in spirit as well as in form. But he is tended to at the Cloister of Saint Glinda by the silent novice called Candle, who wills him back to life with her musical gifts. What dark force left Liir in this condition? Is he really Elphaba's son? He has her broom and her cape—but what of her powers? Can he find his supposed half-sister, Nor, last seen in the forbidding prison, Southstairs? Can he fulfill the last wishes of a dying princess? In an Oz that, since the Wizard's departure, is under new and dangerous management, can Liir keep his head down long enough to grow up? For the countless fans who have been dazzled and entranced by Maguire's Oz, Son of a Witch is the rich reward they have awaited so long.",2006,3.47,352,201 - 400
Son of Superman,Howard Chaykin,Comics & Graphic Novels,"With Superman being assumed dead for fifteen years, Superman's son, Jon Kent, suddenly awakens to his extraordinary powers and his real identity, and goes in search of his mother, Lois Lane, and the secret behind his father's disappearance.",1999,3.36,95,<201
Song of Cthulhu,Stephen Mark Rainey,Fiction,"At the heart of the universe, the court of the blind idiot god Azathoth dances to the insane piping of demonic flute-players. The sinister music resounds across space and time, blasting the minds and ripping the souls of those who hear it. It is the melody of chaos, the sound of madness, the song of Cthulhu. This book includes nineteen stories and one essay, linked together by the alien and terrible music of the spheres.",2001,3.67,211,201 - 400
Song of Solomon,Toni Morrison,Classics,"Macon Dead, Jr., called ""Milkman,"" the son of the wealthiest African American in town, moves from childhood into early manhood, searching, among the disparate, mysterious members of his family, for his life and reality. Winner of the National Book Critics Circle Award. Reader's Guide available. Reprint. 50,000 first printing.",2004,4.04,337,201 - 400
Songmaster,Orson Scott Card,Fiction,"An SF classic from the author of Ender's Game. Kidnapped at an early age, the young singer Ansset has been raised in isolation at the mystical retreat called the Songhouse. His life has been filled with music, and having only songs for companions, he develops a voice that is unlike any heard before. Ansset's voice is both a blessing and a curse, for the young Songbird can reflect all the hopes and fears his auidence feels and, by magnifying their emotions, use his voice to heal--or to destroy. When it is discovered that his is the voice that the Emperor has waited decades for, Ansset is summoned to the Imperial Palace on Old Earth. Many fates rest in Ansset's hands, and his songs will soon be put to the test: either to salve the troubled conscience of a conqueror, or drive him, and the universe, into mad chaos. Songmaster is a haunting story of power and love--the tale of the man who would destroy everything he loves to preserve humanity's peace, and the boy who might just sing the world away.",2002,3.73,352,201 - 400
Songs of the Humpback Whale,Jodi Picoult,Fiction,"Back in print by popular demand, Picoult's acclaimed debut novel treats fans old and new to a poignant story of family, friendship and love.",2001,3.2,346,201 - 400
Sophie's World,Jostein Gaarder,Fiction,"A page-turning novel that is also an exploration of the great philosophical concepts of Western thought, Sophie's World has fired the imagination of readers all over the world, with more than twenty million copies in print. One day fourteen-year-old Sophie Amundsen comes home from school to find in her mailbox two notes, with one question on each: ""Who are you?"" and ""Where does the world come from?"" From that irresistible beginning, Sophie becomes obsessed with questions that take her far beyond what she knows of her Norwegian village. Through those letters, she enrolls in a kind of correspondence course, covering Socrates to Sartre, with a mysterious philosopher, while receiving letters addressed to another girl. Who is Hilde? And why does her mail keep turning up? To unravel this riddle, Sophie must use the philosophy she is learning--but the truth turns out to be far more complicated than she could have imagined.",2007,3.91,518,401 - 600
Sophocles: Three Theban Plays,Sophocles,Classical Greek Literature,"English translations of three of Sophocles' Oidipous Cycle: King Oidipous, Oidipous at Colonus, and Antigone. Focus Classical Library provides close translations with notes and essays to provide access to understanding Greek culture.",2002,3.97,248,201 - 400
Sorcery Rising,Jude Fisher,Fiction,"A talented knife-maker with a natural affinity with the elements of the earth, Katla Aransen, the beautiful and rebellious daughter of an Eyran merchant, finds herself targeted by Istrian fanatics after she accidentally commits sacrilege and by Saro Katla, a blade-forger; and Saro, the second son of an Istrian nobleman--are forever changed.",2003,3.55,528,401 - 600
